CODIGO_DA_IES,NOME_DA_IES,CATEGORIA_DA_IES,MUNICIPIO,UF,SITUACAO_IES
19551,CENTRO UNIVERSITÁRIO BARRIGA VERDE / UNIBAVE Cocal do Sul,Privada,Cocal do Sul,SC,Extinta
2436,Instituto de Ensino Superior Brasileiro,Privada,Manaus,AM,Ativa
21821,Faculdade de Tecnologia Senac Maringá,Privada,Maringá,PR,Ativa
3590,FACULDADE DE ENFERMAGEM SÃO VICENTE DE PAULA,Privada,João Pessoa,PB,Ativa
1736,CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO,Privada,Niterói,RJ,Ativa
4503,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,Pública,Cruz das Almas,BA,Ativa
1185,CENTRO UNIVERSITÁRIO JORGE AMADO,Privada,Salvador,BA,Ativa
18164,Faculdade Estácio de Bauru,Privada,Bauru,SP,Extinta
16934,Faculdade Méliès,Privada,São Paulo,SP,Ativa
17565,"FACULDADE DE CIÊNCIAS HUMANAS,EXATAS E DA SAÚDE DO PIAUÍ",Privada,Parnaíba,PI,Ativa
21888,Faculdade Rehagro,Privada,Belo Horizonte,MG,Ativa
23163,Faculdade de Educação Superior de Divinópolis,Privada,Divinópolis,MG,Ativa
2529,INSTITUTO SUPERIOR DE EDUCAÇÃO DE IGUAPE,Privada,Iguape,SP,Extinta
18152,FACULDADE INTEGRADA DE ARAPONGAS,Privada,Arapongas,PR,Extinta
3004,INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA,Privada,Arapiraca,AL,Ativa
1596,FACULDADE DE CIÊNCIAS E EDUCAÇÃO DO ESPÍRITO SANTO,Privada,Vitória,ES,Ativa
4865,FACULDADE ANHANGUERA DE SÃO LUIZ,Privada,São Luís,MA,Ativa
3529,CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA,Privada,Marília,SP,Ativa
3996,FACULDADE SENAC PERNAMBUCO,Privada,Recife,PE,Ativa
23107,Faculdade Dom Adelio Tomasin,Privada,Quixadá,CE,Ativa
2561,FACULDADE DE CIÊNCIAS ADMINISTRATIVAS,Privada,Cuiabá,MT,Extinta
18637,Faculdade IMES,Privada,Governador Valadares,MG,Ativa
